word,index
milletin,838
uzaktan,839
bey,840
ufaklı,841
fırsat,842
olsaydı,843
az,844
osmanlılık,845
ister,846
duruyor,847
vâkıa,848
düşmanlar,849
tanzimat,850
gidelim,851
veriyordu,852
gelir,853
boyun,854
atları,855
ertesi,856
gerindi,857
denize,858
geldiği,859
gitmişti,860
gözlerine,861
türküm,862
hâline,863
geçtiği,864
vatan,865
mor,866
sadrazamın,867
ölüm,868
biliyordu,869
göğsü,870
geçiyordu,871
ortaya,872
yiğit,873
kötü,874
kendisinin,875
yırtıcı,876
ayakta,877
türkün,878
tramvay,879
avrupa,880
hoş,881
yeniden,882
tarafından,883
avrupalıların,884
i̇talya,885
nişan,886
ordusu,887
garson,888
çocuğu,889
tercüman,890
şiddetle,891
adı,892
anlatıyordu,893
yapacaktı,894
taraf,895
ait,896
kanı,897
okula,898
dinliyor,899
teslim,900
babasını,901
muzaffer,902
aslan,903
hanım,904
alçaklar,905
şam,906
mustafa,907
askerlerinin,908
kurtar,909
kale,910
evinde,911
geçerken,912
sır,913
olmasın,914
dediği,915
başından,916
ağaçlarının,917
eğri,918
güzellik,919
allah,920
haberleri,921
çıkar,922
bozuk,923
şeyleri,924
çıkarmaya,925
hatırladı,926
aksi,927
duvarın,928
zavallıların,929
doluydu,930
kulak,931
hakîkati,932
kurdu,933
çalışıyordu,934
tezgâhı,935
hazır,936
tembel,937
misin,938
bak,939
cebinden,940
taktı,941
bıraktı,942
biliyorsun,943
işine,944
konuşurken,945
budala,946
et,947
topladı,948
boyalı,949
eşi,950
tanesini,951
zorla,952
karşısındaki,953
tane,954
toprak,955
sesini,956
kimdir,957
açıldı,958
çıplak,959
meçhul,960
tokat,961
oda,962
bakar,963
aldım,964
müydü,965
sessizlik,966
uzadıya,967
çıkarken,968
lacivert,969
yanındaki,970
ak,971
duvarlara,972
ahmet,973
bağırdı,974
bilmiyordu,975
bulunduğum,976
mü,977
oturdum,978
doldu,979
kulaklarına,980
muhterem,981
gelip,982
sende,983
söyleyeceğim,984
medeniyet,985
der,986
biliyorum,987
liyâkatin,988
meydan,989
zevk,990
veren,991
görmüş,992
küfür,993
başlar,994
ol,995
çatır,996
olmayacak,997
can,998
bırakan,999
yerde,1000
olmaya,1001
nefret,1002
yıllarca,1003
ahlâk,1004
i̇lâhî,1005
babasından,1006
duyduğu,1007
buyurun,1008
kaplı,1009
anahtar,1010
zannetti,1011
yorgun,1012
benziyordu,1013
mücevher,1014
heyecanlı,1015
ele,1016
mezar,1017
çıkıyordu,1018
olması,1019
bitirdikten,1020
almak,1021
çıkardılar,1022
yüzü,1023
yaptım,1024
görünen,1025
farkında,1026
bağ,1027
yetmiş,1028
korkma,1029
yanan,1030
duvarlarda,1031
yüzümü,1032
öpmeye,1033
verin,1034
istiyorsun,1035
iğrenç,1036
istemem,1037
sahibi,1038
düşmanı,1039
nâraları,1040
vezirleri,1041
yeniçeri,1042
sevinç,1043
otağın,1044
inen,1045
ordunun,1046
oturdu,1047
gözlerinin,1048
itti,1049
nârayı,1050
evvelki,1051
donuk,1052
bilen,1053
sizi,1054
etrafında,1055
bakınız,1056
isterim,1057
viyana,1058
bakıyorlardı,1059
getirdiği,1060
âlim,1061
istediği,1062
gülümsedi,1063
sakallı,1064
söylüyor,1065
birbiri,1066
isyan,1067
idâre,1068
biliyor,1069
hint,1070
bunlardan,1071
i̇çinden,1072
diyen,1073
boylu,1074
istediğini,1075
çıkınca,1076
arapça,1077
tir,1078
soktu,1079
kolları,1080
üstü,1081
sandığı,1082
tereddüt,1083
gittiği,1084
soğuk,1085
yalancı,1086
pencereye,1087
duruyorlardı,1088
uyuyor,1089
nihâyetsiz,1090
ü,1091
uyurken,1092
gözleriyle,1093
sol,1094
abdest,1095
sesle,1096
düşünerek,1097
annemin,1098
koştum,1099
bunların,1100
aç,1101
alkış,1102
ilerde,1103
yaşasın,1104
tebrik,1105
yerleri,1106
odanın,1107
taşlar,1108
atların,1109
yol,1110
belirsiz,1111
orta,1112
temmuzu,1113
şanlı,1114
milleti,1115
rumlar,1116
midir,1117
veriniz,1118
dokuz,1119
milletleri,1120
esirlerimiz,1121
milletlerin,1122
yürümeye,1123
azizim,1124
görünüyordu,1125
eğer,1126
câhil,1127
görmüyor,1128
osmanlıların,1129
kardeş,1130
kavî,1131
irili,1132
çalışan,1133
hain,1134
dudaklarını,1135
vermedi,1136
tarafında,1137
dadaruhun,1138
yanından,1139
kaldırmak,1140
i̇stanbuldan,1141
yalağın,1142
bilmem,1143
gök,1144
gitmiş,1145
hayalinden,1146
kuvveti,1147
geliyorlar,1148
daldı,1149
bayrağı,1150
bağırarak,1151
kenara,1152
ellerinde,1153
koydular,1154
kaftan,1155
süren,1156
baba,1157
bırakmak,1158
serin,1159
gerekli,1160
ölümden,1161
devletine,1162
anda,1163
silah,1164
etmez,1165
etek,1166
tuttuğu,1167
bulunduğunu,1168
serbest,1169
kin,1170
rezil,1171
ruhlu,1172
i̇ncili,1173
adımlarla,1174
yukarıda,1175
değerli,1176
izin,1177
yolunu,1178
ecnebi,1179
umûmî,1180
ruhuna,1181
tavrıyla,1182
gerçek,1183
yaşayan,1184
silahsız,1185
milyonlarca,1186
hükûmeti,1187
i̇ngiltere,1188
trablus,1189
meselesinin,1190
bastı,1191
selanike,1192
avrupadan,1193
saatlerce,1194
fahrî,1195
yaptı,1196
hizmetçi,1197
anadoluda,1198
hristiyan,1199
sultanın,1200
parça,1201
mutlu,1202
saçlarını,1203
fransızca,1204
savaşı,1205
anlatıyor,1206
fesli,1207
madam,1208
annesiyle,1209
omuzuna,1210
söylemişti,1211
itiraz,1212
cengiz,1213
trablusta,1214
tarihe,1215
aşçı,1216
babacığım,1217
subayları,1218
muhâcirlik,1219
yıllık,1220
dolmuş,1221
camiler,1222
zâbitlerin,1223
yalının,1224
subaylarının,1225
kral,1226
ferdinand,1227
esirler,1228
kalkınız,1229
öpüyorlar,1230
edebiyat,1231
ferruhşah,1232
burçların,1233
akşama,1234
akıl,1235
toplayıp,1236
kafası,1237
hikmet,1238
kocaman,1239
okumaya,1240
kutsal,1241
top,1242
ufacık,1243
okşayarak,1244
dolu,1245
iddia,1246
bahar,1247
kapısında,1248
havayı,1249
rabbi,1250
mırıldandı,1251
hararet,1252
olmadan,1253
üzerindeki,1254
düşmüş,1255
ayaklarıyla,1256
çıkmaz,1257
bıraktığı,1258
istemediği,1259
aynı,1260
yola,1261
açıktı,1262
bilmiyorlar,1263
sakalını,1264
kaşıdı,1265
üsküdara,1266
bunlara,1267
sıkıldı,1268
güzeldi,1269
ortasında,1270
harem,1271
gelecek,1272
dalgın,1273
dükkânı,1274
mermerden,1275
kalastan,1276
bozdu,1277
gayriihtiyârî,1278
alınca,1279
i̇stersen,1280
otururdu,1281
eee,1282
kaçar,1283
kaç,1284
gülüyor,1285
yanakları,1286
gel,1287
buruşturdu,1288
andıran,1289
tavırla,1290
dikkatli,1291
onda,1292
elinin,1293
tezgâhını,1294
karşıki,1295
tezgâhlı,1296
bitişik,1297
varmış,1298
düşüncesiz,1299
satın,1300
saatte,1301
kirli,1302
doldurdu,1303
yaktı,1304
ustanın,1305
kol,1306
geçmedi,1307
geceyi,1308
laf,1309
kavga,1310
ağzına,1311
